id,tweet,is_covid
1267459868191047680,"RT @ESCAIDE: Ready? Set? Go!

#ESCAIDE2020 abstract call is open now! This time it's a single one, open until 14.09!

You can send us abstr…",False
1311600999895887872,"Today marks International Day of Older Persons. 

Help us and @Ageing_Better tackle ageism by entering our competition to design age-positive icons to represent older people. 

Enter by 16th Oct: https://t.co/jnu7zAgqzb 

#InternationalDayOfOlderPersons",False
1346057348633288704,"RT @beisgovuk: The first patients have received the @UniofOxford &amp; @AstraZeneca #COVID19 vaccine today.

Developed by UK scientists, we hav…",True
1303966441406828544,"It's simple, but washing your hands often is still one of the most important things you can do to protect yourself and others from #COVID19. 

Clean your hands with soap and water for at least 20 seconds 🧼

Find advice: 
👉 https://t.co/VdU3Lzu28T https://t.co/WaNCaHZGQB",True
1319347677356871680,"RT @transportgovuk: Travel Update

If you arrive from the Canary Islands, Mykonos, the Maldives or Denmark after 04:00 25 Oct, you will not…",False
1275820884469731329,"""WHO is proud to have worked under the leadership of the Government of #DRC to bring this #Ebola outbreak under control""-@DrTedros",False
1337434733286989824,"""WHO and our partners are focusing on 3⃣ priorities:
1⃣ we face an immediate funding gap of USD4.3 billion to procure #COVID19 vaccines for the most needy countries.""
-@DrTedros",True
1294051110748135425,"RT @CDCDirector: We’re not defenseless against #COVID19. #WearAMask – it is a simple, yet powerful tool to stop the spread of this virus. #…",True
1264496360696410112,"The new organ donation law has recently come into effect, enabling more people to donate their organs and save lives.

Organ donation remains your choice. Your faith, beliefs and culture will continue to be respected. 

Find out more: 👇
https://t.co/vTeRR27WEX

Watch below 🔽 https://t.co/2cU96T33Hb",False
1288110099563556866,"Early diagnosis and linkage to care bring strong individual and public health benefits: effective viral #hepatitis treatment either eliminates or suppresses the viruses significantly.

This also means that those on treatment prevent further transmission!

https://t.co/TwygBn98FO",False
1250081071158394880,RT @opscuba: En casa también es muy importante realizar actividad física a diario. Adultos sanos ➡️ 30 minutos al día. Adolescentes y niños…,False
1263521189705678848,"RT @Surgeon_General: #WednesdayWisdom: Staying physically distant shouldn’t prevent you from being physically active. 💪

For more tips on h…",False
1344238674851016704,"The Joint Committee on Vaccination and Immunisation (JCVI) has issued its advice on the AstraZeneca #COVID19 vaccine.
Head of Immunisations at PHE, Dr Mary Ramsay, has commented on the recommendations from the JCVI and MHRA on the AstraZeneca #vaccine. https://t.co/HPpmZG7jpR",True
1278701120366563328,"RT @WHO: ""Many of the same public health measures that have been successful in stopping #Ebola – like case-finding, isolation, testing, con…",False
1335985767743709188,"""@_AnilSoni is an experienced global health expert, with experience in the public, private and non-profit sectors. His previous role was at Viatris, a pharmaceutical company, where he was head of global infectious diseases""-@DrTedros",False
1255841842383532035,"A coronavirus testing facility is open at the University of Bradford's Great Horton Road car park.

Book at test: https://t.co/jZcQqKISec

Find out more ⬇️
https://t.co/O8aGISXhCM",True
1314908802840498177,"RT @DrTedros: In low- and middle-income countries, more than 75% of people with mental, neurological and substance use disorders receive no…",False
1325782368700035073,"""However, we must be honest: we can only realise the full power and potential of the @GlobalGoalsUN if the international community urgently recaptures the sense of common purpose that gave birth to them""-@DrTedros #WHA73",False
1298635284553371650,RT @CDCEnvironment: Prepare yourself for an emergency by storing a supply of water that will meet your family’s needs. Store at least a 3-d…,False
1263843333790720006,"RT @WHO: 👩‍🔬👨‍🔬 Scientists 
👩‍💻👩‍💼 Researchers
👩‍⚕️👨‍⚕️ Health Care Workers 

are working together to better understand #COVID19 , how it s…",True
1284843294846001154,"Today's #COVID19 update (19.07.2020)

Global:
▪ 14 267 093 cases
▪ 601 934 deaths

EU/EEA/UK:
▪ 1 620 084 cases
▪ 180 524 deaths

Find all info: https://t.co/TE7KD96Va2
Latest #RapidRiskAssessment: https://t.co/zSlwAhV0Ea
#SARSCoV2",True
1257344234660691968,"""Recent advances in science are enabling the world to move at incredible speed to develop these tools. 

But the true measure of success will not only be how fast we can develop safe and effective tools – it will be how equally we can distribute them""-@DrTedros #COVID19",True
1340764891725094912,"RT @10DowningStreet: Here's information on Tier 4: Stay At Home. 

Check the rules in your area https://t.co/NkFmf7sFmh https://t.co/ukDTJB…",False
1345386791021518848,"RT @DHSCgovuk: If you need to self-isolate, you MUST stay inside your home until you’re no longer at risk of passing the virus on.

This he…",False
1360864454645268482,RT @DHSCgovuk: Additional surge testing and sequencing is being deployed to targeted areas to help monitor and suppress the spread of a #CO…,False
1333361461968728065,"RT @NHSEngland: After clean water, vaccination is the most effective public health intervention. Find out more about why vaccination is saf…",False
1249413235851382787,"When your mom is living with cancer caused by smoking, you worry about doing everything possible to keep her alive. Read Asaad and Leah’s story: https://t.co/82pN3zsQ0d. #CDCTips https://t.co/cao7BLM1WP",False
1303766469487063042,"To achieve a trans-fat free 🌎🌏🌍, WHO recommends that countries:

✅Set mandatory limits for industrially produced trans-fat or ban partially hydrogenated oils
✅Invest in monitoring
✅Advocate for further regulations in their region

👉https://t.co/KON0gOsZxs #BeatNCDs https://t.co/kcOlXAXw3a",False
1319964354041839616,"What is 'Long COVID'? 

Professor @TimSpector from @Join_ZOE and the COVID Symptom Study app talks about the latest findings into why some people experience #COVID19 symptoms for weeks or even months. 

Read more:
👉🏽https://t.co/CTAVy8bskm 

#LongCovid https://t.co/sxfboe8Wer",True
1268160494474530820,@ellapickoverpa WHO handwashing advice has always been 40 seconds https://t.co/g9e0Z4i5Rw,False
1332393762933399554,"Since one or more #COVID19 vaccines may be available in limited supply before the end of the year, CDC is working closely with health departments and partners to get ready for when vaccines are available. Learn more: https://t.co/AKnOrVkuRI. https://t.co/mVryVdgpHn",True
1348177758451589122,"Together we invested in a broad portfolio of vaccines.

We make sure Europeans have sufficient doses of safe and effective COVID-19 vaccines.

We now have access to 600 million doses of the BioNTech-Pfizer vaccine, double the initial quantity.

#SafeVaccines #StrongerTogether https://t.co/dsjK0ZVK3z",True
1324624642519302144,REMINDER - Please note that our virtual press conference with updates on #COVID19 is at 11am CET today.,True
1331623031874138115,"RT @DHSCgovuk: Adults over the age of 50 will be able to get their free flu jab from 1 December from their GP or pharmacy. 

GP practices w…",False
1353744612997951489,RT @EU_Commission: ▶️ Watch the press conference by Commissioner @SKyriakidesEU on vaccine deliveries and on the export transparency scheme…,False
1270797399099944960,"RT @DrKhabbazCDC: In a new study, @CDCgov pathologists found that the virus that causes #COVID19 lodges itself deep in the lungs and also a…",True
1353682070351077378,"We propose an update on measures restricting free movement within the EU.

In light of new coronavirus variants, it is necessary to strongly discourage non-essential travel, while ensuring that the functioning of the Single Market remains uninterrupted.

#StrongerTogether",True
1303405259377737730,"Talk to your doctor about shingles vaccine at your next visit, and get more info here: https://t.co/3JtLk39pGe.",False
1340409069618700288,"ICYMI: Earlier this week we announced a change in blood donation criteria. 

From next summer, men who have sex with men in a long-term relationship will be able to donate blood 👬 
 
🇬🇧 This will be rolled out across the UK.

Learn more ➡️ https://t.co/BrAeBM9bSt https://t.co/5ukrpEzRdq",False
1349066613534969856,"RT @NorthumbriaNHS: 🎂🎈Today, for her 100th Birthday Isabella from Cramlington received her #COVID19vaccine. 

Here's what she had to say ab…",True
1290512467844640768,"RT @pahowho: #Breastfeeding is life giving 🌼

✅ Boosts children’s immune systems 💪
✅ Provides protection from diseases later in life 
✅ Pro…",False
1291793487617286147,"RT @UN: Masks can help keep us safe from #COVID19, along with:

📍 physical distancing
🧴 handwashing
👥👥 avoiding crowds
🤧 covering your mout…",True
1305807009162440704,"😷 How to wear a non-medical fabric mask safely: Do’s 

More: https://t.co/4odGgqxAKP 

#COVID19 #WearAMask https://t.co/7DyPpM9iSw",True
1292804138011516928,"Did you know that the EU is co-funding climate action projects?

Apply with your own LIFE project idea by 6 October and contribute to a #ClimateNeutralEU!
@LIFEprogramme",False
1336232009358843911,"Today’s meeting will: 

🔵share emerging evidence to reduce the negative effects of school closures
🔵support countries on schooling during #COVID19
🔵share country experiences
🔵update ongoing work by partners &amp; build evidence base for continued schooling at the start of 2021",True
1361777169488359430,RT @CDCgov: NEW: K-12 schools can safely operate for in-person instruction during the #COVID19 pandemic by combining prevention steps. Lear…,True
1338793909640699904,"Latest results from one of the largest #COVID19 prevalence studies in England show:

▶️ overall infections decreased during lockdown and then levelled off
▶️ regional variation - with increases in London
▶️ following tiering rules is crucial to bring down infections

More info👇",True
1356302435787157506,"Foundry Primary Care Network held a vaccine pop-up clinic at Jamia Ghausia Centre on Sunday, the first clinic in a mosque in the whole of Yorkshire.

https://t.co/HSIiT7vVhB

@NHSSheffieldCCG",False
1264277419084730377,"Protect yourself and your family this Eid by celebrating at home 🏠 

▶️Stay at home as much as possible
▶️Limit contact with other people
▶️Don’t visit other homes
▶️Avoid social gatherings

#StayAlert and continue to follow social distancing rules. https://t.co/bFLziUjemg",False
1254341950515433474,"Washing your hands more often remains vitally important.

Wash your hands with soap and water for 20 seconds 🧼👐

Here's a step-by-step guide 🔽 https://t.co/0BaCMlJ0bt",False
1274080773285597184,RT @CDC_Cancer: #BreastCancer risk doesn’t just come from your mom’s side of the family. Talking to your dad about his family history of ca…,False
1354792870398603266,"This week's #COVID19 surveillance report shows that case rates have decreased in all age groups and are currently highest in those aged 30-39 years old.

See the report here: https://t.co/8dYt9zEVk9 https://t.co/0SvDNCSyjU",True
1253289562845126657,RT @WHO_Europe: Press conference on #COVID-19 in the WHO European Region https://t.co/DAx74gv4Bx,True
1260131360074878978,"RT @EU_Health: This #InternationalNursesDay, we pay tribute to all nursing staff for your valuable contribution &amp; sacrifice for our health…",False
1264802125218869248,"If you're going out this bank holiday, remember to stay 2m apart. 

You can play your part in stopping the spread of #coronavirus. 

#StayAlert | #COVID19 https://t.co/xcwyJVX6oU",True
